2026-06-25 15:29:44 | INFO     | app.main | ✅ Upload directory ready: uploads
2026-06-25 15:29:44 | INFO     | app.main | ✅ All services initialized — API is ready to accept requests!
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.routers.documents | GET /documents — Listing all documents
2026-06-25 15:29:44 | INFO     | app.routers.documents | Returning 1 document(s)
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.main | 🛑 Shutting down RAG Document Assistant...
2026-06-25 15:29:44 | INFO     | app.main |    Closing connections and cleaning up resources
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.main | 🚀 Starting IR Infotech RAG Assistant v1.0.0
2026-06-25 15:29:44 | INFO     | app.main |    Debug mode: False
2026-06-25 15:29:44 | INFO     | app.main |    Database:   sqlite:///./test_rag_assistant.db
2026-06-25 15:29:44 | INFO     | app.main |    ChromaDB:   chroma_data
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.main | ✅ Database tables created/verified
2026-06-25 15:29:44 | INFO     | app.main | ✅ Upload directory ready: uploads
2026-06-25 15:29:44 | INFO     | app.main | ✅ All services initialized — API is ready to accept requests!
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.routers.documents | POST /documents/upload — Received 1 file(s)
2026-06-25 15:29:44 | INFO     | app.routers.documents | Processing file: delete_me.pdf
2026-06-25 15:29:44 | INFO     | app.routers.documents | Saved uploaded file to: uploads/d87e929a_delete_me.pdf (22 bytes)
2026-06-25 15:29:44 | INFO     | app.routers.documents | Extracted pages from delete_me.pdf
2026-06-25 15:29:44 | INFO     | app.routers.documents | Created 1 chunks from delete_me.pdf
2026-06-25 15:29:44 | INFO     | app.routers.documents | Generated 1 embeddings for delete_me.pdf
2026-06-25 15:29:44 | INFO     | app.routers.documents | Stored 1 vectors in ChromaDB for document 2
2026-06-25 15:29:44 | INFO     | app.routers.documents | ✅ Successfully processed: delete_me.pdf → Document ID: 2, Chunks: 1
2026-06-25 15:29:44 | INFO     | app.routers.documents | Upload complete — 1 succeeded, 0 failed
2026-06-25 15:29:44 | INFO     | app.routers.documents | GET /documents/2 — Fetching document details
2026-06-25 15:29:44 | INFO     | app.routers.documents | DELETE /documents/2 — Deleting document
2026-06-25 15:29:44 | INFO     | app.routers.documents | Deleted vectors for document 2 from ChromaDB
2026-06-25 15:29:44 | INFO     | app.routers.documents | Deleted file: uploads/d87e929a_delete_me.pdf
2026-06-25 15:29:44 | INFO     | app.routers.documents | ✅ Successfully deleted document 2
2026-06-25 15:29:44 | INFO     | app.routers.documents | GET /documents/2 — Fetching document details
2026-06-25 15:29:44 | WARNING  | app.routers.documents | Document not found: 2
2026-06-25 15:29:44 | WARNING  | app.main | HTTP 404 on /documents/2: Document with ID 2 not found.
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.main | 🛑 Shutting down RAG Document Assistant...
2026-06-25 15:29:44 | INFO     | app.main |    Closing connections and cleaning up resources
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.main | 🚀 Starting IR Infotech RAG Assistant v1.0.0
2026-06-25 15:29:44 | INFO     | app.main |    Debug mode: False
2026-06-25 15:29:44 | INFO     | app.main |    Database:   sqlite:///./test_rag_assistant.db
2026-06-25 15:29:44 | INFO     | app.main |    ChromaDB:   chroma_data
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.main | ✅ Database tables created/verified
2026-06-25 15:29:44 | INFO     | app.main | ✅ Upload directory ready: uploads
2026-06-25 15:29:44 | INFO     | app.main | ✅ All services initialized — API is ready to accept requests!
2026-06-25 15:29:44 | INFO     | app.main | ============================================================
2026-06-25 15:29:44 | INFO     | app.routers.qa | POST /qa/ask — Question: 'What is the key conclusion of the report?...' (stream=False, session=None)
2026-06-25 15:29:44 | INFO     | app.routers.qa | Created new chat session: d8f4621c-2cb7-4174-843b-143d9110e410
